B2,Combined_Text,Framing,Priming,Repetition,Narrative/Story,Reciprocity,Commitment and Consistency,Social Proof,Scarcity,Authority,Liking,Argument Type,Hedging and Politeness,Pronoun Use,Active Tense,Concreteness,Linguistic Fluency,Linguistic Mirroring,Credibility Markers,Certainty Markers,Rhetorical Questions
20180723-094242_630_live,"Persuader: Hi, how are you today?
Persuadee: I am okay.
Persuadee: How are you?
Persuader: i'm doing great!
Persuader: I'm working for Save The Children organisation, have you heard about it?
Persuadee: No, I haven't.
Persuadee: Can you tell me more about it?
Persuader: sure.
Persuader: Save the Children is an international NGO that promotes children's rights and provides relief and helps support children in developing countries
Persuadee: What types of programs does it offer?
Persuader: they ensure children's rights to health ,education and safety.
Persuader: They are currently helping Syrian children
Persuadee: On my side I don't have information about the task, only that we are trying to come up with a donation agreement.
Persuadee: Are you looking for a donation for the charity?
Persuader: yes, You can donate as little as 1 cent and as much as 2 dollars.
Persuader: your donation will be directly deducted from your task payment
Persuadee: Okay, that is good to know.
Persuadee: What types of things are being done to help the children in Syria?
Persuader: 1000 children were killed or injured and the donations can address these problems.
Persuader: Our organization gives shelter to those kids, feed them and take care of them
Persuadee: Do you know what percentage of donations goes directly to programs (as opposed to overhead costs, salaries, and expenses)?
Persuader: yes, 86% of all the donations goes to programs and the rest goes to maintaining the fund, ads, etc
Persuadee: That sounds pretty good.
Persuadee: What other countries are they working in right now?
Persuader: They are actually helping children at the US Mexican border to reunite with their parents
Persuadee: What inspired you to work for Save the Children?
Persuader: I have a son and I can't imagine seeing him hungry or in pain or afraid of being killed.
Persuader: i want to help all the children in the world
Persuadee: That's an honorable reason. :)
Persuadee: What is the one thing you would say to someone to encourage a donation?
Persuader: a couple of cents or a couple of dollars might not make a difference in your life but it can make a huge impact on some child's life
Persuadee: That is a good way to think about it.
Persuadee: And every little bit can add up.",Yes,Yes,No,Yes,No,No,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180723-100140_767_live,"Persuader: You know a lot of children in this world go through hardships, and your destiny is determined on where you are born?
Persuadee: I guess that is true.
Persuadee: I have never thought about destiny being determined by where you are born though.
Persuader: Yeah, so the chances of being born in the United States are very low, but you and I could have been born in a third world country where children are exploited
Persuadee: That really is terrible to think about.
Persuadee: We are pretty lucky to have been born in the United States.
Persuader: Yes of course, especially when the world is how it is today, and do you remember the debate about Kony in 2012?
Persuadee: I don't really remember much about it but I know the basics
Persuader: Yeah so people donated money to help children in need.
Persuader: Would you like to donate money to this charity?
Persuader: It's called Save The Children and it's really helpful for kids who aren't as lucky as us and are born in countries that are ravaged by war.
Persuadee: Is this a legit charity?
Persuadee: Do you have personal experience?
Persuader: Yes so what it is is that it's a charity that has international impact, for example where there is lack of support like Syria.
Persuader: In the first two months of 2018, 1,000 children were killed or injured in the violence in Syria.
Persuader: We help with medical costs and funding volunteers.
Persuadee: That sounds important.
Persuadee: How much of a donation are you looking for?
Persuader: Well I wouldn't ask more than what a candy bar costs, I know we live in hard times right now.
Persuader: Anything between 10 to 50 cents helps.
Persuadee: That seems reasonable.
Persuadee: Yes I would like to make a donation.
Persuader: Okay thank you, the charity really appreciates your donation today and thanks you, how much would you like to do?
Persuadee: I can $1 today
Persuader: Wow thank you!
Persuader: Just think of everyone who could donate a dollar and help kids in other countries little by little. You're an awesome person.
Persuadee: No problem!
Persuadee: I wish I could do more.
Persuader: Maybe next time you hear about the charity, or if someone asks you to donate something, just give a little each time.
Persuader: It's worth it you know?
Persuadee: That is a good idea.
Persuadee: I will also tell others about this charity.
Persuader: Thank you!
Persuader: Have a great Monday!
Persuadee: Thank you!
Persuadee: You too",Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,No
20180723-100855_385_live,"Persuader: Hi...
Persuader: how are you today?
Persuader: The research team is helping an organization called 'Save the Children'.
Persuader: Have you heard of it?
Persuadee: im doing well!
Persuadee: How about you?
Persuadee: I have heard about it but would love to learn more about it
Persuader: Im fine thank you.
Persuader: Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: Wow!
Persuadee: Thats awesome!
Persuader: Save the Children has a proven track record of using donations efficiently and effectively.
Persuader: There are several children around us who are below poverty line and needed a helping hand.
Persuader: It would be great if you can make a contribution from your side for this venture.
Persuadee: I would love to help in anyway I can.
Persuadee: I wish everyone was equally ok and I know that everybit counts
Persuader: It is a great relief that there are people like you who still cares.
Persuadee: Oh yeah!
Persuadee: Many people should be like that
Persuader: Yes, it may be little as the price of a candy.
Persuader: But it still makes the ripple effect in many lives.
Persuadee: How many people are currently donating?
Persuader: 42% of their funding is from US.
Persuader: National, State & Local Govs, 20% from UN & Other Multi-Lateral Funding Institutions, 19% from Individuals like you and me, 11% from corporations, 7% from Foundations and 1% from other sources.
Persuader: You can get further details from  URL
Persuadee: Oh OK!
Persuadee: I will look into that.
Persuadee: So what do I need to donate?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0 to all your payment.
Persuadee: Ok cool!
Persuadee: It's nice to know that people are donating to such a great cause
Persuader: How much do you like to donate to the charity now?
Persuader: The research team will collect all donations and send it to Save the Children.
Persuadee: Unfortunately I can't donate anything right now
Persuader: ohh that is really sad to hear.
Persuader: You can donate as little as you want.
Persuader: But it will make a huge difference for those in need.
Persuadee: I will keep that in mind.
Persuadee: When I get my next paycheck I will go to the website and donate.
Persuadee: Thank you for filling me in on information regarding the charity
Persuader: That is very thoughtful of you.
Persuader: Appreciate your consideration of doing such an act for a greater course.
Persuadee: Of course!
Persuadee: Hope you have an amazing rest of the day",Yes,No,No,No,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180723-101530_805_live,"Persuader: Hey, how are you?
Persuadee: Good day...
Persuadee: it's a Monday, but a good start to the week!
Persuader: Absolutely.
Persuader: Glad your week is starting off well.
Persuadee: I'm just waiting until it's time to go volunteer at a local children's hospital...
Persuadee: I cuddle babies in the NICU.
Persuader: That's adorable.
Persuader: How did you get involved in an opportunity like that?
Persuader: I imagine hospitals are very strict about who gets to be with the little ones.
Persuadee: A friend has been doing it for awhile, and I've always been interested.
Persuadee: There is quite a bit of training and background checks, but it's worth it!
Persuader: I'd like to chat with you about a children's charity today.
Persuader: Do you have a moment?
Persuadee: Sure!
Persuadee: As you can tell, it's something I'm very concerned about!
Persuader: Some people are born really well-off.
Persuader: Some are born not well-off, but they can reasonably expect enough food to eat and a place to live.
Persuader: And there are some who are born so destitute that they can go for several weeks in hunger and/or not have a safe place to live or sleep.
Persuader: How does that make you feel?
Persuadee: It makes me feel like life is so unfair, and those of us who can help, should.
Persuader: Have you ever heard of the charity, Save the Children?
Persuadee: I don't believe so.
Persuader: Save the Children is an international non-governmental organization that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: Is it a well regulated agency?
Persuadee: How much of donations go to the kids?
Persuader: 80% of the donation go to the kids, and 20% cost goes to administrative cost like educating the public about what we do and reaching out for help.
Persuadee: How long has it been around?
Persuader: A lot of information can be found at their website at  URL
Persuadee: I'm looking it up right now.
Persuadee: Established 1919
Persuader: I'm glad you're interested enough to look into them.
Persuader: As you can see, they've been around for a quite a while.
Persuader: Would you like to help and donate to them?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from $0.50 to all your payment.
Persuadee: I'd donate 50 cents of my payment.",Yes,Yes,No,No,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180723-103902_895_live,"Persuader: Save the children is a good organization.
Persuader: Do you like to donate to charities?
Persuadee: Yes, I do.
Persuadee: What does Save the Children do?
Persuader: The Save the Children Fund, commonly known as Save the Children, is an international non-governmental organisation that promotes children's rights, provides relief and helps support children in developing countries.
Persuadee: Can you give me their website, so I can look into them?
Persuader: Sure, here is the link.  URL
Persuadee: Thank you!
Persuadee: Why are you talking about this charity instead of the others?
Persuader: Sure, here is the link  URL
Persuadee: Why are you talking about this charity instead of the others?
Persuader: I think it is a charity that is well deserving and underfunded.
Persuader: Children in underdeveloped countries do not have the support that other kids have and I just want to give them a chance to improve their lives.
Persuadee: In what ways do they help children?
Persuader: They provide things such as food and medical treatment.
Persuader: Things that are basic needs are given to them.
Persuadee: I'm glad they do that but there are many charities that claim to do the same thing.
Persuader: Yes, you are correct.
Persuader: However, this organization has been effective in helping others and all donations are matched.
Persuader: I believe their goal is to really help the children.
Persuader: They are known to help in disasters too.
Persuadee: Well, ok.
Persuadee: I'll keep them in mind and do some research into them.
Persuader: Do you think you would like to donate in future?
Persuadee: If I can vouch for them, yes.
Persuader: That is great.
Persuader: I hope you consider them and decide they are worthy
Persuadee: I'm glad there are people like you out there who are attempting to make a difference in the world.
Persuader: Thank you.
Persuader: If you had a chance to donate some of your money earned today, how much would you donate to the charity now?
Persuader: Your donation would be directly deducted from your task payment.
Persuader: You can choose any amount from O dollars to all your payment.
Persuadee: I would consider donating $0.50.
Persuader: Wow.
Persuader: That is wonderful.
Persuader: You are a really generous and caring person.",Yes,No,Yes,No,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,No,Yes
20180723-105210_403_live,"Persuader: Hello, how much would you like to donate to the Save the Children charity today?
Persuadee: I think I would like to donate 5
Persuader: URL Perhaps a visit to this website would increase your generous donation a few dollars?
Persuadee: Ok, I saw the website and I am willing to donate $10
Persuader: Thank you very much for your generous increase in the donation amount.
Persuader: Save the Children is the most trusted fund of it's kind.
Persuader: Did you know each dollar you donate will be doubled by the organization?
Persuadee: I did not know that
Persuader: Every day, 16,000 children die before their 5th birthday, mostly from preventable causes.
Persuader: Were you aware of this fact?
Persuadee: I was not aware of that fact, no.
Persuader: Millions of children in the U.S. and around the world still aren't getting what they deserve.
Persuader: We're talking about children in need.
Persuader: Dying, when the world knows how to save them.
Persuader: Vulnerable children in poverty.
Persuader: Denied an education.
Persuader: Forced to flee violence.
Persuader: Orphaned, abused, abandoned.
Persuader: Children with no reason to smile.
Persuader: No hope for the future.
Persuader: The world's children deserve better and you're making a difference.
Persuader: How much will you spend on a snack or a drink today?
Persuader: Then ask yourself how much of that could have saved a life.
Persuadee: well, I've already promised 10.
Persuadee: My families poor too and I don't get a lot of extra stuff like drinks and snacks.
Persuadee: It's not easy for me to give anything and no charity has ever helped me.
Persuadee: I wonder how much their CEO makes for saving the children.
Persuadee: I'm guessing a lot more than me.
Persuader: I can certainly understand where you are coming from, and family does come first.
Persuader: Across the United States, more than 14 million children, or 1 in 5, grow up in poverty.
Persuader: When you focus on children in rural America, that number jumps to 1 in 4.
Persuader: Through our education, protection and emergency programs, we reached 638,000 kids in 2016 alone.
Persuader: May I confirm our donation agreement is in fact $10 ?
Persuadee: It is in fact 10 or 5% of my weekly income.
Persuadee: can I confirm that you would also like to donate 5% of yours?
Persuader: If you agree to donate $10, then I can as well.
Persuader: I could not ask something of someone I would not do myself.
Persuadee: I understand that we will both be donating.
Persuadee: I hope it is helpful to the children
Persuader: You are a part of the solution and you do not have to hope it is helpful.
Persuader: Your $10 donation will be matched by Save the Children
Persuadee: ok, got it.
Persuadee: cheers
Persuader: I just looked it up and the manager side of the charity splits 5% if you're interested in that.
Persuadee: I think charities would recieve a lot more if the country would go after the 1% to help
Persuader: If I had all the control, the only money not spent on the children would be for fundraising.
Persuader: Thank you very much for your $10 donation to Save the Children.
Persuadee: no problem.
Persuadee: thanks",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,Yes
20180723-112016_503_live,"Persuader: Hello, it's nice to meet you
Persuadee: nice to meet you, do you know any good children's charities
Persuader: I've always felt confident donating my time and money to a charity called Save the children.
Persuader: Have you heard of them?
Persuadee: i have not tell me about them
Persuader: Little typo there, Save the Children.
Persuader: They work in many countries all over the world and have been proven to spend 86% of their donations actually on children, not administrative fees.
Persuadee: interesting.
Persuadee: how do you help them.
Persuader: You can choose to donate some or even all of your task payment for this hit directly to Save the Children.
Persuader: Would you be interested in donating a small portion?
Persuadee: not really.
Persuadee: give me some reasons i should donate
Persuader: I would be glad to.
Persuader: Every day, 16,000 children die before their 5th birthday, mostly from preventable causes.
Persuader: This charity puts a focus on this under 5, at-risk group.
Persuader: Just a small donation would go towards vaccinating kids the world over.
Persuadee: is this a religous charity?
Persuader: They are not affiliated with any religious group.
Persuadee: would donating one penny help
Persuader: If that's all you feel comfortable donating, the charity would be very appreciative.
Persuadee: are you going to donate too?
Persuader: Yes, I will be donating half of my payment to Save the Children, as well as having donated in the past.
Persuadee: how much do you think i should donate
Persuader: I wouldn't force anyone to donate anything, but if you could swing even 50 cents, that would cover 1 vaccine round for 1 child.
Persuadee: i think i will donate one cent.
Persuadee: how do i make the donation?
Persuader: The research team will collect all donations and send it to Save the Children.
Persuadee: ok",Yes,No,No,No,Yes,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,No
20180723-113128_856_live,"Persuader: Hi, how much do you know about Save the Children?
Persuadee: I'm afraid I don't know anything about Save the Children.
Persuader: It's an international organization that promotes education, health and safety for all children.
Persuadee: Oh, that's great!
Persuadee: What sort of assistance do they offer specifically?
Persuader: They currently have an initiative to assist children at the Mexican/American border.
Persuader: They also recently aided children impacted by flooding in Japan.
Persuadee: Wow, they really help people all around the world.
Persuadee: Are you at all associated with Save the Children?
Persuader: I've been a donor and advocate for years.
Persuader: It's really easy to get involved.
Persuadee: Oh, really?
Persuadee: What's the best way to get involved in your opinion?
Persuader: Considering the monumental need, there is always a need for funding. Even small donations have a huge impact.
Persuadee: Do you know where I can go to donate?
Persuader: The research team here can transfer a donation for you.
Persuadee: That'd be fantastic!
Persuadee: Do you know where Save the Children mainly operates out of?
Persuader: The main headquarters is in Fairfield, CT, and there is also office in Washington DC.
Persuadee: They actually have an office near me then.
Persuadee: I'd love to visit one of their facilities.
Persuader: I'm not sure if they do tours, but you can check out their contact info at  URL
Persuader: There is a lot of info about the organization there.
Persuadee: Oh, that's unfortunate, but I'll definitely check out all the information on their website.
Persuader: Excellent!
Persuader: Would you like to donation a portion of your task payment today to get the ball rolling?
Persuadee: I would definitely like to make a donation!
Persuader: Great!
Persuader: How much would you like to contribute?
Persuader: You can choose any amount from $0 to all of your payment.
Persuadee: I'll gladly give all of my payment.
Persuader: That's fantastic - the children will definitely appreciate it!",No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,Yes,Yes,No
20180723-113700_19_live,"Persuader: Hello, How are you doing today?
Persuadee: Hi, I am doing well.
Persuadee: How are you?
Persuader: Good!
Persuader: Thank you for asking.
Persuader: So have you ever head of a charity called Saved the Children?
Persuadee: I have and I have heard good things about the charity.
Persuadee: Are you familiar with it?
Persuader: Yes, they do their best to insure children's health, education, safety, etc..
Persuader: Does this sound like something you might want to be a part of?
Persuadee: Yes I am interested.
Persuader: Wonderful, is there any way you like to help out by donating any part of your payment for their needs?
Persuader: Anything would help even small donations add up when everyone pitches in.
Persuadee: Yes I would be willing to donate $1
Persuader: Oh my goodness, that is great news!
Persuader: Just to let you know the money will be directly deducted from your task payment.
Persuader: The research team will collect all the donations and send it to Save the children.
Persuadee: Ok, sounds great!
Persuader: Thank you very much, you have no idea how much this helps.
Persuader: Is there any other questions you may have?
Persuadee: No I don't have any other questions.
Persuader: Well we do have four more turns talking to one another.
Persuader: So did you know that your money will go to children that are in war zones.
Persuadee: No I didn't know that.
Persuadee: I took a little time to look up information on the organization, but didn't see that.
Persuadee: I saw that they have pretty reasonable overhead fees, but the salary for the CEO was very high.
Persuader: Yes I think so to, not sure how when I was told that all the money goes to the children.
Persuader: I do have a web-site to to give you if to if you like to see if it was the same one you looked at.
Persuadee: yes, that would be great, I like to compare to see.
Persuadee: I think that it is so important that the money goes to the children and not to salaries.
Persuader: Alright no problem, here it it  URL
Persuader: Would you like a minute to g over it, I can wait while you do.
Persuadee: That was interesting, it seemed to match the information on the independent review site.
Persuader: Well we are at the end now, so is it still okay to donate you dollar?
Persuader: I just want to make sure you are happy with your donation before we proceed.
Persuadee: Yes, that is good with me.
Persuader: Thank you again, and I hope you have a wonderful day!!!",Yes,No,No,No,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,No
20180723-114415_254_live,"Persuader: Have you ever donated before?
Persuadee: Yes, For child care.
Persuader: Are you aware of Save The Children?
Persuadee: Yes, It's an is an international non-governmental organisation that promotes children's rights, provides relief and helps support children in developing countries.
Persuader: Great, have you ever donated to this organization?
Persuadee: Yes, I have donated a year before.
Persuader: which year was this, was it previously?
Persuadee: I have donated on 2017.
Persuader: How much did you donated?
Persuadee: I have donated $100
Persuader: Would you be willing to donate to this organization again?
Persuadee: Yes, Definitely i will donate this year
Persuader: How much are you planning to this year?
Persuadee: i will donate more than $100
Persuader: Great, how soon are you planning to?
Persuadee: I will donate within 3 months
Persuader: would you consider sooner, if it was in increments?
Persuadee: Yes, As soon as i get enough money
Persuader: Would you donate today, even a small portion?
Persuadee: No, but i will definitely donate within next two months",Yes,No,No,No,No,Yes,No,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,No,No,Yes
20180723-120746_371_live,"Persuader: Hello would you please donate to help save the children?
Persuadee: What children organization?
Persuader: This organization is called Save the Children and your donation can help ensure children't rights to health, education, and safety.
Persuadee: How long has this charity been around?
Persuader: We have been around for a long time and have worked hard to ensure that as much of your money as possible goes towards helping the children.
Persuader: The children need your help to ensure that they have a fighting chance at their future.
Persuader: You can help care for them medically and ensure they have the education needed to succeed in life.
Persuadee: The organization sounds like a good one.
Persuader: What is a typical donation?
Persuader: Through child sponsorship, you can change a child's life, as well as your own ??Â¸??Â¸ all for about $1 a day.
Persuader: This is the most popular donation.
Persuader: We also have where you can set up a monthly donation or make a one time donation.
Persuadee: I think I would be interested in the child sponsorship.
Persuader: That sounds amazing!
Persuader: You will help make a child's dreams come true!
Persuader: Would you like to set up a one time donation for $30 or would you prefer to do it monthly? We can accept all major credit cards and Paypal for your convenience.
Persuader: Which would you prefer?
Persuadee: A one time donation would be best.
Persuader: We appreciate your help in Saving the Children!
Persuader: How would you like to make payment for this donation?
Persuader: We can accept all major credit cards and Paypal for your convenience.
Persuadee: Paypal is usually my choice.
Persuader: It is a great choice.
Persuader: All I need is your Paypal email and I will submit a request for the donation so that all you have to do is accept it.
Persuader: Does that sound ok to you?
Persuadee: I do have a few questions first.
Persuader: Yes, what questions do you have?
Persuadee: Where is the charity based out of?
Persuader: Our headquarters is based out of Fairfield, CT and we service children all over the world.
Persuadee: Okay, where are the major areas you serve?
Persuader: We have several programs throughout the US to help children here.
Persuader: We also over several outreach programs in countries around the world.
Persuader: Where we serve depends on where the needs are greatest and/or if there are any emergency situations.
Persuadee: that sounds great.",Yes,No,Yes,No,No,Yes,No,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180723-121545_265_live,"Persuader: Hey!
Persuadee: Hi there, how's it going?
Persuader: So I wanted to explain a little about the Save the Children foundation, and why donating is important..
Persuader: It's a non governmental program that promotes the rights of children, and provides relief to these children in developing countries
Persuadee: They sound like an interesting charity.
Persuadee: How do they go about providing relief to the children?
Persuader: Well, they provide education, food, and clothing.
Persuader: Also, when a child is sick, they sometimes don't have the funds for proper healthcare, so unfortunately they die.
Persuader: It's really terrible.
Persuader: So many children die from hunger, and it's not fair.
Persuadee: Why are you passionate about this particular one?
Persuadee: There are so many charities that claim to do the same things.
Persuader: It is the worlds first global charity for children, and have credentials to back them up.
Persuader: Charity watch group gives them the top rating for achieving results.
Persuader: The money is truly going to the children, as opposed to the company
Persuadee: You sound very passionate about them.
Persuadee: Ok. I'll believe you.
Persuader: That's so great.
Persuader: So will you donate a little of your earnings towards this charity?
Persuadee: I may be interested.
Persuadee: What are the amounts to donate?
Persuader: Your donation will be directly deducted from your task payment.
Persuader: You can choose any amount from 0 to all of your payment.
Persuader: I wouldn't suggest all of your payment, but just a small amount would help
Persuadee: I will donate $0.25
Persuader: That would be so great.
Persuader: You are extremely generous
Persuadee: I admire your effort reaching to people to help the charity.
Persuader: Yeah, I think helping Children is the most important charity there could be.
Persuader: Unfortunately, there are way too many scam companies out there
Persuadee: I'm glad you understand my concern about scams.
Persuadee: By the way, what is their site?
Persuader: URL  you can go there to find more information
Persuadee: I definitely will check it out.
Persuadee: Thank you for the information.
Persuader: You're welcome!
Persuader: Thank you for the donation
Persuadee: What was life like for you growing up?
Persuadee: Is there a reason children in particular are so special to you?
Persuader: I am a teacher, so I have a lot of compassion",Yes,No,Yes,No,Yes,No,Yes,No,Yes,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,No,Yes,No,Yes
20180723-122005_335_live,"Persuader: Have you thought about giving to the Save the Children charity?
Persuadee: I used to donate to them.
Persuadee: Do you like that charity?
Persuader: I think that they are good, they help a lot of children
Persuadee: What do they do exactly?
Persuader: They work for the rights of children in developing countries in safety, health, education
Persuadee: That is super important work, obviously.
Persuadee: Do you know if they are a trustworthy organization?
Persuader: Yes they are very trustworthy, and they have been around for a long time
Persuadee: I can't stand charities where the top level execs make a ton of money
Persuader: I agree, that doesn't happen with this charity, most of the money goes to helping the children
Persuadee: that's good to hear.
Persuadee: they sound like a good charity to donate to
Persuader: I would highly recommend it
Persuadee: what other organizations would you consider?
Persuader: This is the only one that comes to mind
Persuadee: I tend to like St Jude's research hospital too
Persuader: they are good too, but this one I prefer
Persuadee: why is that?
Persuader: St Jude's is one specific area, Save the children goes into more of a variety of issues
Persuadee: that's a fair point
Persuader: are you still there?
Persuadee: yes! i said that's a fair point.
Persuadee: save the children is a good choice.",Yes,No,No,No,No,No,No,No,Yes,Yes,Logical,Yes,Yes,Yes,Concrete,Yes,No,Yes,Yes,Yes
20180808-001810_178_live,"Persuader: Hi!
Persuadee: Hi
Persuader: So there's a great charity called Save the Children.
Persuader: HAve you heard of it?
Persuadee: yes, I believe i have , is it for kids with Cancer?
Persuader: Yes it is.
Persuader: It is to help kids with unfortunate diseases and things of that nature.
Persuader: I feel heartbroken for some of these kids.
Persuadee: I also hate seeing children so helpless.
Persuadee: I think this charity also helps with kids over seas in haiti too.
Persuader: Yes it does.
Persuader: Overall, it has gotten great reviews and many people who have donated feel gratified for doing their small part in potentially saving someone's life.
Persuader: I have donated before to the charity.
Persuadee: I was just about to mention that I never really have donated to any organization.
Persuadee: if there is one i support it would definately be this one.
Persuadee: I am sure there are many ways to help
Persuader: Yes, absolutely.
Persuader: I remember when I donated, the foundation sent me an update about how one of the patients was doing.
Persuader: It felt great to see a little reflection of what my donation was helping to do.
Persuadee: That is amazing!!!
Persuadee: I will absolutely look to donating something later, just because I have always wanted to anyways and now this so why not.
Persuadee: anything helps and It would make me feel better to know that I tried even if it not a big amount, I will donate what I can and continue.
Persuader: Okay great.
Persuader: That sounds perfect.
Persuader: How much would you like to donate now?
Persuader: It could be any amount from $0 to what your payment for this task would be.
Persuadee: how would i do it now
Persuader: Well, you would just tell me what you would like to donate out of your $2.
Persuader: Like I said, it goes to Save the Children and any amount helps.
Persuader: However, it is completely up to you!
Persuader: Your time is valuable.
Persuadee: right, well i feel horrible only saying $0 but i will say $0.00 because i want to go the website with my daughter and look it over and then donate there so she can be part of it
Persuader: Perfect!
Persuader: That sounds great.
Persuader: I appreciate you taking the time to look over the website.
Persuadee: OF course, it will be great for all around, my daughter to see that she should do things like this out of kindness and for the children , thank you
Persuader: Absolutely.
Persuader: I think it is important to teach our kids from a young age that giving back to others in need is very gratifying and important.
Persuadee: thank you so much!
Persuadee: do i close this window now
Persuader: Okay sounds good.
Persuader: Take a look at the site and have a good day!
Persuader: Bye.
Persuadee: have a great day",Yes,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Emotional,Yes,Yes,Yes,Concrete,Yes,Yes,No,Yes,No
20180808-004203_194_live,"Persuader: Hi
Persuadee: hello
Persuader: Would you like to help an important cause?
Persuadee: Depends on which one you are talking about.
Persuader: It's for children
Persuadee: Sounds interesting but can you be a bit more specific?
Persuader: It's called SAVE the CHILDREN.
Persuader: It help poor kids in need of food and shelter
Persuadee: Does it help children in this country or in another country?
Persuader: It helps kids in this country
Persuadee: Great!
Persuadee: I believe my money should first focus on children in need in this country.
Persuader: Great.
Persuader: How much would you like to help with?
Persuadee: Before I commit to a donation, can you tell me how much actually goes to the children and how much goes to the organization itself?
Persuader: Whatever you donate will be deducted from your payment for this hit
Persuadee: What percentage of the donation actually goes to the children and how much goes to the administration of the charity?
Persuader: The research team sends ALL the money to the donation
Persuadee: I understand that but how much does the charity keep in order to keep the charity running
Persuader: I have no idea
Persuadee: Where is the charity located?
Persuader: You can go to their website if you want more info... URL
Persuadee: thank you for the information, I think I am ready to donate
Persuader: Ok how much?",Yes,No,No,No,No,No,No,No,No,No,Logical,Yes,Yes,Yes,Concrete,Yes,No,No,No,No
